weather,source,seed,k,method,R2,gap,recovery
w,Trina_monoSi,42,82,CORAL,0.7074814367641702,0.11508212753141156,-1.4384536517154498
w,Trina_monoSi,42,82,importance_weight,0.8697388607793277,0.11508212753141156,-0.028526432818062684
w,Trina_monoSi,42,82,few_shot_tree,0.8822416010965536,0.11508212753141156,0.08011546132673628
w,Trina_monoSi,42,82,mlp_finetune,0.9203088015892689,0.11508212753141156,0.4108983666247364
w,Trina_monoSi,42,82,within_target,0.9881038708903238,0.11508212753141156,1.0
w,Trina_monoSi,1,82,zero_shot,0.888407059455354,0.09943784104539011,0.0
w,Trina_monoSi,1,82,CORAL,0.8026683294817841,0.09943784104539011,-0.8622344277812004
w,Trina_monoSi,1,82,importance_weight,0.8804447834008144,0.09943784104539011,-0.08007289750895806
w,Trina_monoSi,1,82,few_shot_tree,0.8975754925699766,0.09943784104539011,0.09220265663689818
w,Trina_monoSi,1,82,mlp_finetune,0.9317971711682886,0.09943784104539011,0.43635412089375963
w,Trina_monoSi,1,82,within_target,0.9878449005007441,0.09943784104539011,1.0
w,Trina_monoSi,2,82,zero_shot,0.8887842305673218,0.09965141779495079,0.0
w,Trina_monoSi,2,82,CORAL,0.7693713318065729,0.09965141779495079,-1.198306069327188
w,Trina_monoSi,2,82,importance_weight,0.8826209414097084,0.09965141779495079,-0.06184848438679941
w,Trina_monoSi,2,82,few_shot_tree,0.8956485699735242,0.09965141779495079,0.06888350971911765
w,Trina_monoSi,2,82,mlp_finetune,0.9328842879065509,0.09965141779495079,0.44254320023797544
w,Trina_monoSi,2,82,within_target,0.9884356483622726,0.09965141779495079,1.0
w,Trina_monoSi,7,82,zero_shot,0.8820363621406236,0.11007918843379483,0.0
w,Trina_monoSi,7,82,CORAL,0.7857916966762406,0.11007918843379483,-0.8743220842536251
w,Trina_monoSi,7,82,importance_weight,0.883164112794799,0.11007918843379483,0.010244903421082443
w,Trina_monoSi,7,82,few_shot_tree,0.8903355603726464,0.11007918843379483,0.0753929816353447
w,Trina_monoSi,7,82,mlp_finetune,0.9279822122480152,0.11007918843379483,0.4173890701876397
w,Trina_monoSi,7,82,within_target,0.9921155505744185,0.11007918843379483,1.0
w,Trina_monoSi,123,82,zero_shot,0.899170323633244,0.08697766872919288,0.0
w,Trina_monoSi,123,82,CORAL,0.8422765678060002,0.08697766872919288,-0.654119116533048
w,Trina_monoSi,123,82,importance_weight,0.8945446231680371,0.08697766872919288,-0.05318262184755919
w,Trina_monoSi,123,82,few_shot_tree,0.9052864428354701,0.08697766872919288,0.0703182700983719
w,Trina_monoSi,123,82,mlp_finetune,0.9357493409323799,0.08697766872919288,0.4205564236611768
w,Trina_monoSi,123,82,within_target,0.9861479923624369,0.08697766872919288,1.0
