weather,source,seed,k,method,R2,zero,within,gap,recovery,gain_a
nw,Trina_monoSi,42,82,mlp,0.9766279541512748,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.8277127848990097,1.1098484413266414
nw,Trina_monoSi,42,165,gain,0.9621686229402064,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.5786324116339234,1.1028571932790927
nw,Trina_monoSi,42,165,tree,0.9308502252092139,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.039133171798495556,1.1028571932790927
nw,Trina_monoSi,42,165,mlp,0.9791314719989495,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.8708390644531617,1.1028571932790927
nw,Trina_monoSi,42,247,gain,0.9619955499239313,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.5756510087691131,1.1059875251871187
nw,Trina_monoSi,42,247,tree,0.9354577390150064,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.11850345814288296,1.1059875251871187
nw,Trina_monoSi,42,247,mlp,0.986215060632568,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.9928628894256082,1.1059875251871187
nw,Trina_monoSi,1,5,gain,0.9571784974536621,0.9283967554722548,0.987861975008291,0.05946521953603623,0.48400968172606323,1.0646331529359017
nw,Trina_monoSi,1,5,tree,0.9281383561955222,0.9283967554722548,0.987861975008291,0.05946521953603623,-0.004345385062876204,1.0646331529359017
nw,Trina_monoSi,1,5,mlp,0.9780384240097423,0.9283967554722548,0.987861975008291,0.05946521953603623,0.8348017366252961,1.0646331529359017
nw,Trina_monoSi,1,10,gain,0.9598494529048995,0.9283967554722548,0.987861975008291,0.05946521953603623,0.5289259449144771,1.0774947762143754
nw,Trina_monoSi,1,10,tree,0.9283803719482446,0.9283967554722548,0.987861975008291,0.05946521953603623,-0.0002755143954390562,1.0774947762143754
nw,Trina_monoSi,1,10,mlp,0.9788844435884793,0.9283967554722548,0.987861975008291,0.05946521953603623,0.8490288694827521,1.0774947762143754
nw,Trina_monoSi,1,20,gain,0.9618431126936571,0.9283967554722548,0.987861975008291,0.05946521953603623,0.5624524298801866,1.0948125006967309
nw,Trina_monoSi,1,20,tree,0.9295810919756208,0.9283967554722548,0.987861975008291,0.05946521953603623,0.01991645726033702,1.0948125006967309
nw,Trina_monoSi,1,20,mlp,0.979706051218544,0.9283967554722548,0.987861975008291,0.05946521953603623,0.8628454775180908,1.0948125006967309
nw,Trina_monoSi,1,40,gain,0.962036892873325,0.9283967554722548,0.987861975008291,0.05946521953603623,0.5657111444898323,1.0986747064847615
nw,Trina_monoSi,1,40,tree,0.928924359946365,0.9283967554722548,0.987861975008291,0.05946521953603623,0.00887248846009111,1.0986747064847615
nw,Trina_monoSi,1,40,mlp,0.9814980467543956,0.9283967554722548,0.987861975008291,0.05946521953603623,0.8929806649408089,1.0986747064847615
nw,Trina_monoSi,1,82,gain,0.9620623654709931,0.9283967554722548,0.987861975008291,0.05946521953603623,0.5661395057717196,1.0993789478739437
nw,Trina_monoSi,1,82,tree,0.9289289568181733,0.9283967554722548,0.987861975008291,0.05946521953603623,0.008949791997254205,1.0993789478739437
nw,Trina_monoSi,1,82,mlp,0.9818404993701699,0.9283967554722548,0.987861975008291,0.05946521953603623,0.898739537411915,1.0993789478739437
nw,Trina_monoSi,1,165,gain,0.9621529267942703,0.9283967554722548,0.987861975008291,0.05946521953603623,0.5676624350400181,1.1060289107226968
nw,Trina_monoSi,1,165,tree,0.9337312118752684,0.9283967554722548,0.987861975008291,0.05946521953603623,0.08970716739355443,1.1060289107226968
nw,Trina_monoSi,1,165,mlp,0.9811280605552434,0.9283967554722548,0.987861975008291,0.05946521953603623,0.8867587725129507,1.1060289107226968
nw,Trina_monoSi,1,247,gain,0.9620922817863808,0.9283967554722548,0.987861975008291,0.05946521953603623,0.5666425950669606,1.1003422268574405
nw,Trina_monoSi,1,247,tree,0.9361462132900547,0.9283967554722548,0.987861975008291,0.05946521953603623,0.13031916603122415,1.1003422268574405
nw,Trina_monoSi,1,247,mlp,0.9877640598647561,0.9283967554722548,0.987861975008291,0.05946521953603623,0.9983534048255633,1.1003422268574405
nw,Trina_monoSi,2,5,gain,0.9609643821649801,0.929473913892949,0.9896724038940162,0.06019849000106725,0.5231106008053172,1.150899818494184
